"transit_timestamp","station_complex","borough","payment_method","fare_class_category","ridership","transfers","Georeference"
"09/01/2025 12:00:00 AM","Wilson Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.904045 40.688763)"
"09/01/2025 12:00:00 AM","Atlantic Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.9031 40.675346)"
"09/01/2025 12:00:00 AM","New Lots Av (L)","Brooklyn","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.89923 40.658733)"
"09/01/2025 12:00:00 AM","East 105 St (L)","Brooklyn","metrocard","Metrocard - Other","1","0","POINT (-73.89948 40.650574)"
"09/01/2025 12:00:00 AM","23 St (R,W)","Manhattan","metrocard","Metrocard - Other","1","0","POINT (-73.98934 40.741302)"
"09/01/2025 12:00:00 AM","Inwood-207 St (A)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.9199 40.868073)"
"09/01/2025 12:00:00 AM","Dyckman St (A)","Manhattan","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.92727 40.86549)"
"09/01/2025 12:00:00 AM","181 St (A)","Manhattan","metrocard","Metrocard - Full Fare","1","0","POINT (-73.937965 40.851696)"
"09/01/2025 12:00:00 AM","175 St (A)","Manhattan","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.939705 40.84739)"
"09/01/2025 12:00:00 AM","125 St (A,C,B,D)","Manhattan","omny","OMNY - Fair Fare","10","0","POINT (-73.95235 40.811108)"
"09/01/2025 12:00:00 AM","103 St (C,B)","Manhattan","omny","OMNY - Seniors & Disability","1","0","POINT (-73.96146 40.796093)"
"09/01/2025 12:00:00 AM","86 St (C,B)","Manhattan","metrocard","Metrocard - Other","4","0","POINT (-73.96892 40.78587)"
"09/01/2025 12:00:00 AM","8 St-NYU (R,W)","Manhattan","metrocard","Metrocard - Other","4","0","POINT (-73.99263 40.730328)"
"09/01/2025 12:00:00 AM","8 St-NYU (R,W)","Manhattan","omny","OMNY - Full Fare","189","0","POINT (-73.99263 40.730328)"
"09/01/2025 12:00:00 AM","72 St (C,B)","Manhattan","omny","OMNY - Seniors & Disability","2","0","POINT (-73.97641 40.775593)"
"09/01/2025 12:00:00 AM","34 St-Penn Station (A,C,E)","Manhattan","metrocard","Metrocard - Other","15","0","POINT (-73.99339 40.75229)"
"09/01/2025 12:00:00 AM","W 4 St-Wash Sq (A,C,E,B,D,F,M)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","25","0","POINT (-74.000496 40.732338)"
"09/01/2025 12:00:00 AM","Canal St (A,C,E)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","6","0","POINT (-74.005226 40.720825)"
"09/01/2025 12:00:00 AM","High St (A,C)","Brooklyn","omny","OMNY - Full Fare","94","0","POINT (-73.99053 40.699337)"
"09/01/2025 12:00:00 AM","Hoyt-Schermerhorn Sts (A,C,G)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.985 40.688484)"
"09/01/2025 12:00:00 AM","Lafayette Av (C)","Brooklyn","omny","OMNY - Fair Fare","2","0","POINT (-73.973946 40.68611)"
"09/01/2025 12:00:00 AM","Clinton-Washington Avs (C)","Brooklyn","omny","OMNY - Full Fare","27","0","POINT (-73.965836 40.68326)"
"09/01/2025 12:00:00 AM","Liberty Av (C)","Brooklyn","metrocard","Metrocard - Other","2","0","POINT (-73.896545 40.67454)"
"09/01/2025 12:00:00 AM","Rockaway Blvd (A)","Queens","metrocard","Metrocard - Other","1","0","POINT (-73.84386 40.680428)"
"09/01/2025 12:00:00 AM","Astoria Blvd (N,W)","Queens","metrocard","Metrocard - Full Fare","1","0","POINT (-73.91785 40.77026)"
"09/01/2025 12:00:00 AM","Astoria Blvd (N,W)","Queens","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.91785 40.77026)"
"09/01/2025 12:00:00 AM","Bedford Park Blvd (B,D)","Bronx","omny","OMNY - Seniors & Disability","2","0","POINT (-73.88714 40.873245)"
"09/01/2025 12:00:00 AM","Fordham Rd (B,D)","Bronx","omny","OMNY - Full Fare","11","0","POINT (-73.89775 40.861298)"
"09/01/2025 12:00:00 AM","Tremont Av (B,D)","Bronx","omny","OMNY - Full Fare","14","0","POINT (-73.90523 40.85041)"
"09/01/2025 12:00:00 AM","170 St (B,D)","Bronx","metrocard","Metrocard - Full Fare","1","0","POINT (-73.9134 40.839306)"
"09/01/2025 12:00:00 AM","Roosevelt Island (F)","Manhattan","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.95326 40.759144)"
"09/01/2025 12:00:00 AM","Lexington Av/63 St (F,Q)","Manhattan","omny","OMNY - Full Fare","55","10","POINT (-73.96611 40.76463)"
"09/01/2025 12:00:00 AM","23 St (F,M)","Manhattan","metrocard","Metrocard - Full Fare","2","0","POINT (-73.99282 40.742878)"
"09/01/2025 12:00:00 AM","23 St (F,M)","Manhattan","omny","OMNY - Full Fare","82","3","POINT (-73.99282 40.742878)"
"09/01/2025 12:00:00 AM","Grand St (B,D)","Manhattan","metrocard","Metrocard - Other","3","0","POINT (-73.99375 40.718266)"
"09/01/2025 12:00:00 AM","York St (F)","Brooklyn","metrocard","Metrocard - Full Fare","3","0","POINT (-73.98675 40.701397)"
"09/01/2025 12:00:00 AM","York St (F)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","2","0","POINT (-73.98675 40.701397)"
"09/01/2025 12:00:00 AM","7 Av (F,G)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","POINT (-73.98031 40.66627)"
"09/01/2025 12:00:00 AM","Church Av (F,G)","Brooklyn","omny","OMNY - Fair Fare","1","0","POINT (-73.979675 40.64404)"
"09/01/2025 12:00:00 AM","Avenue X (F)","Brooklyn","omny","OMNY - Seniors & Disability","1","1","POINT (-73.97425 40.58962)"
"09/01/2025 12:00:00 AM","Parsons Blvd (F)","Queens","omny","OMNY - Seniors & Disability","2","0","POINT (-73.80333 40.707565)"
"09/01/2025 12:00:00 AM","Sutphin Blvd (F)","Queens","metrocard","Metrocard - Other","3","0","POINT (-73.81071 40.70546)"
"09/01/2025 12:00:00 AM","Sutphin Blvd (F)","Queens","omny","OMNY - Fair Fare","1","1","POINT (-73.81071 40.70546)"
"09/01/2025 12:00:00 AM","Kew Gardens-Union Tpke (E,F)","Queens","omny","OMNY - Fair Fare","2","0","POINT (-73.83101 40.71444)"
"09/01/2025 12:00:00 AM","Kew Gardens-Union Tpke (E,F)","Queens","omny","OMNY - Seniors & Disability","4","2","POINT (-73.83101 40.71444)"
"09/01/2025 12:00:00 AM","DeKalb Av (B,Q,R)","Brooklyn","metrocard","Metrocard - Other","2","0","POINT (-73.98183 40.690636)"
"09/01/2025 12:00:00 AM","Forest Hills-71 Av (E,F,M,R)","Queens","metrocard","Metrocard - Full Fare","2","1","POINT (-73.84452 40.72169)"
"09/01/2025 12:00:00 AM","63 Dr-Rego Park (M,R)","Queens","omny","OMNY - Full Fare","19","0","POINT (-73.8616 40.729847)"
"09/01/2025 12:00:00 AM","Grand Av-Newtown (M,R)","Queens","omny","OMNY - Fair Fare","3","1","POINT (-73.87722 40.737015)"
"09/01/2025 12:00:00 AM","Elmhurst Av (M,R)","Queens","metrocard","Metrocard - Unlimited 7-Day","2","0","POINT (-73.88202 40.742455)"
"09/01/2025 12:00:00 AM","65 St (M,R)","Queens","omny","OMNY - Fair Fare","1","0","POINT (-73.89845 40.74967)"
"09/01/2025 12:00:00 AM","65 St (M,R)","Queens","omny","OMNY - Full Fare","10","0","POINT (-73.89845 40.74967)"
"09/01/2025 12:00:00 AM","Steinway St (M,R)","Queens","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.92074 40.756878)"
"09/01/2025 12:00:00 AM","Union St (R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","6","0","POINT (-73.98311 40.677315)"
"09/01/2025 12:00:00 AM","Union St (R)","Brooklyn","omny","OMNY - Other","1","0","POINT (-73.98311 40.677315)"
"09/01/2025 12:00:00 AM","21 St (G)","Queens","metrocard","Metrocard - Other","1","0","POINT (-73.94972 40.744064)"
"09/01/2025 12:00:00 AM","Nassau Av (G)","Brooklyn","omny","OMNY - Full Fare","98","0","POINT (-73.95128 40.724636)"
"09/01/2025 12:00:00 AM","Broadway (G)","Brooklyn","omny","OMNY - Full Fare","16","1","POINT (-73.95031 40.706093)"
"09/01/2025 12:00:00 AM","Clinton-Washington Avs (G)","Brooklyn","omny","OMNY - Full Fare","5","0","POINT (-73.96684 40.688087)"
"09/01/2025 12:00:00 AM","Fulton St (G)","Brooklyn","omny","OMNY - Fair Fare","1","0","POINT (-73.97537 40.68712)"
"09/01/2025 12:00:00 AM","231 St (1)","Bronx","metrocard","Metrocard - Fair Fare","2","1","POINT (-73.90483 40.878857)"
"09/01/2025 12:00:00 AM","Marble Hill-225 St (1)","Manhattan","omny","OMNY - Full Fare","4","0","POINT (-73.90983 40.87456)"
"09/01/2025 12:00:00 AM","Prospect Av (R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.992874 40.665413)"
"09/01/2025 12:00:00 AM","137 St-City College (1)","Manhattan","omny","OMNY - Fair Fare","1","0","POINT (-73.953674 40.822006)"
"09/01/2025 12:00:00 AM","125 St (1)","Manhattan","metrocard","Metrocard - Other","5","0","POINT (-73.958374 40.815582)"
"09/01/2025 12:00:00 AM","116 St-Columbia University (1)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","3","0","POINT (-73.96411 40.80772)"
"09/01/2025 12:00:00 AM","86 St (1)","Manhattan","metrocard","Metrocard - Full Fare","4","0","POINT (-73.97622 40.788643)"
"09/01/2025 12:00:00 AM","86 St (1)","Manhattan","omny","OMNY - Full Fare","66","2","POINT (-73.97622 40.788643)"
"09/01/2025 12:00:00 AM","79 St (1)","Manhattan","omny","OMNY - Fair Fare","3","1","POINT (-73.97992 40.783936)"
"09/01/2025 12:00:00 AM","72 St (1,2,3)","Manhattan","metrocard","Metrocard - Other","3","0","POINT (-73.98197 40.778454)"
"09/01/2025 12:00:00 AM","66 St-Lincoln Center (1)","Manhattan","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.98221 40.77344)"
"09/01/2025 12:00:00 AM","66 St-Lincoln Center (1)","Manhattan","metrocard","Metrocard - Other","1","0","POINT (-73.98221 40.77344)"
"09/01/2025 12:00:00 AM","50 St (1)","Manhattan","metrocard","Metrocard - Fair Fare","2","0","POINT (-73.98385 40.761726)"
"09/01/2025 12:00:00 AM","50 St (1)","Manhattan","metrocard","Metrocard - Other","4","0","POINT (-73.98385 40.761726)"
"09/01/2025 12:00:00 AM","34 St-Penn Station (1,2,3)","Manhattan","metrocard","Metrocard - Seniors & Disability","4","0","POINT (-73.99106 40.750374)"
"09/01/2025 12:00:00 AM","34 St-Penn Station (1,2,3)","Manhattan","omny","OMNY - Fair Fare","14","0","POINT (-73.99106 40.750374)"
"09/01/2025 12:00:00 AM","23 St (1)","Manhattan","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.99566 40.74408)"
"09/01/2025 12:00:00 AM","18 St (1)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","3","0","POINT (-73.99787 40.74104)"
"09/01/2025 12:00:00 AM","18 St (1)","Manhattan","omny","OMNY - Fair Fare","1","0","POINT (-73.99787 40.74104)"
"09/01/2025 12:00:00 AM","Canal St (1)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","2","0","POINT (-74.00628 40.722855)"
"09/01/2025 12:00:00 AM","Canal St (1)","Manhattan","omny","OMNY - Full Fare","41","0","POINT (-74.00628 40.722855)"
"09/01/2025 12:00:00 AM","Chambers St (1,2,3)","Manhattan","omny","OMNY - Seniors & Disability","2","0","POINT (-74.00927 40.715477)"
"09/01/2025 12:00:00 AM","WTC Cortlandt (1)","Manhattan","omny","OMNY - Full Fare","38","0","POINT (-74.01219 40.711834)"
"09/01/2025 12:00:00 AM","Wall St (2,3)","Manhattan","omny","OMNY - Full Fare","54","0","POINT (-74.0091 40.70682)"
"09/01/2025 12:00:00 AM","Hoyt St (2,3)","Brooklyn","omny","OMNY - Full Fare","28","2","POINT (-73.98506 40.690544)"
"09/01/2025 12:00:00 AM","Nevins St (2,3,4,5)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","5","0","POINT (-73.98049 40.688248)"
"09/01/2025 12:00:00 AM","Eastern Pkwy-Brooklyn Museum (2,3)","Brooklyn","metrocard","Metrocard - Full Fare","4","0","POINT (-73.96438 40.671986)"
"09/01/2025 12:00:00 AM","Nostrand Av (3)","Brooklyn","omny","OMNY - Other","1","0","POINT (-73.95046 40.669846)"
"09/01/2025 12:00:00 AM","Kingston Av (3)","Brooklyn","omny","OMNY - Full Fare","20","0","POINT (-73.94216 40.6694)"
"09/01/2025 12:00:00 AM","Sutter Av-Rutland Rd (3)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.92261 40.66472)"
"09/01/2025 12:00:00 AM","Saratoga Av (3)","Brooklyn","omny","OMNY - Other","1","0","POINT (-73.91633 40.661453)"
"09/01/2025 12:00:00 AM","Rockaway Av (3)","Brooklyn","omny","OMNY - Fair Fare","2","0","POINT (-73.90894 40.662548)"
"09/01/2025 12:00:00 AM","59 St (N,R)","Brooklyn","omny","OMNY - Full Fare","24","0","POINT (-74.01788 40.64136)"
"09/01/2025 12:00:00 AM","Pennsylvania Av (3)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","POINT (-73.8949 40.664635)"
"09/01/2025 12:00:00 AM","New Lots Av (3)","Brooklyn","metrocard","Metrocard - Other","2","0","POINT (-73.88408 40.666237)"
"09/01/2025 12:00:00 AM","New Lots Av (3)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.88408 40.666237)"
"09/01/2025 12:00:00 AM","Sterling St (2,5)","Brooklyn","omny","OMNY - Fair Fare","1","0","POINT (-73.95085 40.662743)"
"09/01/2025 12:00:00 AM","Church Av (2,5)","Brooklyn","metrocard","Metrocard - Other","6","0","POINT (-73.94958 40.650845)"
"09/01/2025 12:00:00 AM","Newkirk Av-Little Haiti (2,5)","Brooklyn","omny","OMNY - Full Fare","14","1","POINT (-73.94841 40.63997)"
"09/01/2025 12:00:00 AM","Buhre Av (6)","Bronx","metrocard","Metrocard - Other","2","0","POINT (-73.832565 40.84681)"
"09/01/2025 12:00:00 AM","St Lawrence Av (6)","Bronx","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.867615 40.83151)"
"09/01/2025 12:00:00 AM","Elder Av (6)","Bronx","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.87916 40.828583)"
"09/01/2025 12:00:00 AM","77 St (R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-74.02551 40.62974)"
"09/01/2025 12:00:00 AM","Cypress Av (6)","Bronx","omny","OMNY - Fair Fare","1","0","POINT (-73.91404 40.805367)"
"09/01/2025 12:00:00 AM","3 Av-138 St (6)","Bronx","omny","OMNY - Full Fare","13","0","POINT (-73.92614 40.810474)"
"09/01/2025 12:00:00 AM","Mosholu Pkwy (4)","Bronx","omny","OMNY - Full Fare","9","0","POINT (-73.88466 40.87975)"
"09/01/2025 12:00:00 AM","86 St (R)","Brooklyn","omny","OMNY - Fair Fare","1","0","POINT (-74.0284 40.62269)"
"09/01/2025 12:00:00 AM","Bedford Park Blvd-Lehman College (4)","Bronx","metrocard","Metrocard - Other","1","0","POINT (-73.89006 40.873413)"
"09/01/2025 12:00:00 AM","Bedford Park Blvd-Lehman College (4)","Bronx","omny","OMNY - Fair Fare","3","0","POINT (-73.89006 40.873413)"
"09/01/2025 12:00:00 AM","Mt Eden Av (4)","Bronx","metrocard","Metrocard - Other","2","0","POINT (-73.91469 40.844433)"
"09/01/2025 12:00:00 AM","Mt Eden Av (4)","Bronx","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.91469 40.844433)"
"09/01/2025 12:00:00 AM","138 St-Grand Concourse (4,5)","Bronx","metrocard","Metrocard - Full Fare","1","0","POINT (-73.92985 40.813225)"
"09/01/2025 12:00:00 AM","96 St (6)","Manhattan","omny","OMNY - Fair Fare","1","0","POINT (-73.95107 40.78567)"
"09/01/2025 12:00:00 AM","33 St (6)","Manhattan","metrocard","Metrocard - Other","3","0","POINT (-73.98208 40.746082)"
"09/01/2025 12:00:00 AM","23 St (6)","Manhattan","metrocard","Metrocard - Full Fare","2","0","POINT (-73.9866 40.739864)"
"09/01/2025 12:00:00 AM","Astor Pl (6)","Manhattan","metrocard","Metrocard - Fair Fare","2","0","POINT (-73.99107 40.730053)"
"09/01/2025 12:00:00 AM","Astor Pl (6)","Manhattan","omny","OMNY - Fair Fare","2","0","POINT (-73.99107 40.730053)"
"09/01/2025 12:00:00 AM","Wall St (4,5)","Manhattan","omny","OMNY - Full Fare","51","0","POINT (-74.01186 40.707558)"
"09/01/2025 12:00:00 AM","Bowling Green (4,5)","Manhattan","omny","OMNY - Fair Fare","1","1","POINT (-74.01407 40.70482)"
"09/01/2025 12:00:00 AM","Bowling Green (4,5)","Manhattan","omny","OMNY - Other","1","0","POINT (-74.01407 40.70482)"
"09/01/2025 12:00:00 AM","Burke Av (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.867165 40.871357)"
"09/01/2025 12:00:00 AM","E 180 St (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.87349 40.841892)"
"09/01/2025 12:00:00 AM","West Farms Sq-E Tremont Av (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","1","0","POINT (-73.88005 40.840294)"
"09/01/2025 12:00:00 AM","Parkside Av (Q)","Brooklyn","metrocard","Metrocard - Other","1","0","POINT (-73.961494 40.655293)"
"09/01/2025 12:00:00 AM","Intervale Av (2,5)","Bronx","metrocard","Metrocard - Unlimited 7-Day","2","0","POINT (-73.896736 40.82218)"
"09/01/2025 12:00:00 AM","Jackson Av (2,5)","Bronx","omny","OMNY - Full Fare","8","0","POINT (-73.90781 40.81649)"
"09/01/2025 12:00:00 AM","3 Av-149 St (2,5)","Bronx","metrocard","Metrocard - Other","6","0","POINT (-73.917755 40.81611)"
"09/01/2025 12:00:00 AM","Harlem-148 St (3)","Manhattan","omny","OMNY - Full Fare","5","0","POINT (-73.93647 40.82388)"
"09/01/2025 12:00:00 AM","125 St (2,3)","Manhattan","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.945496 40.807755)"
"09/01/2025 12:00:00 AM","116 St (2,3)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.94962 40.802097)"
"09/01/2025 12:00:00 AM","116 St (2,3)","Manhattan","omny","OMNY - Other","1","0","POINT (-73.94962 40.802097)"
"09/01/2025 12:00:00 AM","Central Park North (110 St) (2,3)","Manhattan","omny","OMNY - Fair Fare","1","0","POINT (-73.95182 40.799076)"
"09/01/2025 12:00:00 AM","Eastchester-Dyre Av (5)","Bronx","metrocard","Metrocard - Full Fare","2","0","POINT (-73.83083 40.8883)"
"09/01/2025 12:00:00 AM","Flushing-Main St (7)","Queens","omny","OMNY - Other","5","0","POINT (-73.83003 40.7596)"
"09/01/2025 12:00:00 AM","Mets-Willets Point (7)","Queens","metrocard","Metrocard - Fair Fare","4","0","POINT (-73.84563 40.754623)"
"09/01/2025 12:00:00 AM","Junction Blvd (7)","Queens","metrocard","Metrocard - Unlimited 30-Day","2","0","POINT (-73.86953 40.749146)"
"09/01/2025 12:00:00 AM","Junction Blvd (7)","Queens","metrocard","Metrocard - Unlimited 7-Day","4","0","POINT (-73.86953 40.749146)"
"09/01/2025 12:00:00 AM","90 St-Elmhurst Av (7)","Queens","metrocard","Metrocard - Full Fare","4","0","POINT (-73.87661 40.74841)"
"09/01/2025 12:00:00 AM","90 St-Elmhurst Av (7)","Queens","omny","OMNY - Other","4","0","POINT (-73.87661 40.74841)"
"09/01/2025 12:00:00 AM","82 St-Jackson Hts (7)","Queens","metrocard","Metrocard - Other","1","0","POINT (-73.8837 40.747658)"
"09/01/2025 12:00:00 AM","40 St-Lowery St (7)","Queens","omny","OMNY - Fair Fare","2","0","POINT (-73.92402 40.743782)"
"09/01/2025 12:00:00 AM","Cortelyou Rd (Q)","Brooklyn","metrocard","Metrocard - Fair Fare","1","0","POINT (-73.96389 40.640926)"
"09/01/2025 12:00:00 AM","Hunters Point Av (7)","Queens","omny","OMNY - Full Fare","2","0","POINT (-73.94891 40.742214)"
"09/01/2025 12:00:00 AM","Newkirk Plaza (B,Q)","Brooklyn","metrocard","Metrocard - Full Fare","2","0","POINT (-73.96279 40.635082)"
"09/01/2025 12:00:00 AM","96 St (Q)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","4","0","POINT (-73.94715 40.784317)"
"09/01/2025 12:00:00 AM","86 St (Q)","Manhattan","metrocard","Metrocard - Full Fare","2","0","POINT (-73.95179 40.77789)"
"09/01/2025 12:00:00 AM","72 St (Q)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","6","0","POINT (-73.95843 40.7688)"
"09/01/2025 12:00:00 AM","Avenue J (Q)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.9608 40.62504)"
"09/01/2025 12:00:00 AM","Ocean Pkwy (Q)","Brooklyn","metrocard","Metrocard - Full Fare","1","0","POINT (-73.9685 40.576313)"
"09/01/2025 12:00:00 AM","Coney Island-Stillwell Av (D,F,N,Q)","Brooklyn","omny","OMNY - Full Fare","143","4","POINT (-73.98123 40.577423)"
"09/01/2025 12:00:00 AM","14 St-Union Sq (L,N,Q,R,W,4,5,6)","Manhattan","metrocard","Metrocard - Fair Fare","4","0","POINT (-73.98995 40.735737)"
"09/01/2025 12:00:00 AM","14 St-Union Sq (L,N,Q,R,W,4,5,6)","Manhattan","omny","OMNY - Full Fare","613","11","POINT (-73.98995 40.735737)"
"09/01/2025 12:00:00 AM","149 St-Grand Concourse (2,4,5)","Bronx","omny","OMNY - Other","3","0","POINT (-73.92735 40.818375)"
"09/01/2025 12:00:00 AM","161 St-Yankee Stadium (B,D,4)","Bronx","omny","OMNY - Fair Fare","5","0","POINT (-73.92565 40.827995)"
"09/01/2025 12:00:00 AM","168 St (A,C,1)","Manhattan","metrocard","Metrocard - Fair Fare","2","0","POINT (-73.93956 40.840717)"
"09/01/2025 12:00:00 AM","Bryant Pk (B,D,F,M)/5 Av (7)","Manhattan","metrocard","Metrocard - Full Fare","9","0","POINT (-73.984566 40.754223)"
"09/01/2025 12:00:00 AM","Grand Central-42 St (S,4,5,6,7)","Manhattan","omny","OMNY - Other","9","0","POINT (-73.976845 40.751778)"
"09/01/2025 12:00:00 AM","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","Brooklyn","metrocard","Metrocard - Full Fare","8","0","POINT (-73.97689 40.68446)"
"09/01/2025 12:00:00 AM","14 St (A,C,E)/8 Av (L)","Manhattan","omny","OMNY - Other","7","0","POINT (-74.00169 40.740894)"
"09/01/2025 12:00:00 AM","Franklin Av (2,3,4,5)/Botanic Garden (S)","Brooklyn","metrocard","Metrocard - Fair Fare","2","0","POINT (-73.95813 40.67068)"
"09/01/2025 12:00:00 AM","Fulton St (A,C,J,Z,2,3,4,5)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","10","0","POINT (-74.00657 40.71037)"
"09/01/2025 12:00:00 AM","79 St (D)","Brooklyn","omny","OMNY - Full Fare","5","0","POINT (-74.00061 40.613503)"
"09/01/2025 12:00:00 AM","121 St (J,Z)","Queens","omny","OMNY - Full Fare","14","7","POINT (-73.82829 40.700493)"
"09/01/2025 12:00:00 AM","57 St-7 Av (N,Q,R,W)","Manhattan","omny","OMNY - Fair Fare","7","0","POINT (-73.98066 40.764664)"
"09/01/2025 12:00:00 AM","57 St-7 Av (N,Q,R,W)","Manhattan","omny","OMNY - Seniors & Disability","2","1","POINT (-73.98066 40.764664)"
"09/01/2025 12:00:00 AM","Flushing Av (M,J)","Brooklyn","metrocard","Metrocard - Other","2","0","POINT (-73.941124 40.70026)"
"09/01/2025 12:00:00 AM","Astoria-Ditmars Blvd (N,W)","Queens","metrocard","Metrocard - Other","3","0","POINT (-73.91203 40.775036)"
"09/01/2025 12:00:00 AM","Astoria-Ditmars Blvd (N,W)","Queens","omny","OMNY - Full Fare","44","0","POINT (-73.91203 40.775036)"
"09/01/2025 12:00:00 AM","49 St (N,R,W)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","10","0","POINT (-73.98414 40.7599)"
"09/01/2025 12:00:00 AM","Fresh Pond Rd (M)","Queens","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.895874 40.706184)"
"09/01/2025 12:00:00 AM","Bedford Av (L)","Brooklyn","metrocard","Metrocard - Fair Fare","3","0","POINT (-73.95687 40.717304)"
"09/01/2025 12:00:00 AM","Grand St (L)","Brooklyn","omny","OMNY - Other","1","0","POINT (-73.94067 40.711926)"
"09/01/2025 12:00:00 AM","Morgan Av (L)","Brooklyn","omny","OMNY - Fair Fare","1","0","POINT (-73.93314 40.706154)"
"09/01/2025 12:00:00 AM","28 St (R,W)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","2","0","POINT (-73.98869 40.745495)"
"09/01/2025 12:00:00 AM","Wilson Av (L)","Brooklyn","omny","OMNY - Fair Fare","2","0","POINT (-73.904045 40.688763)"
"09/01/2025 12:00:00 AM","Wilson Av (L)","Brooklyn","omny","OMNY - Full Fare","17","0","POINT (-73.904045 40.688763)"
"09/01/2025 12:00:00 AM","Atlantic Av (L)","Brooklyn","metrocard","Metrocard - Other","3","0","POINT (-73.9031 40.675346)"
